,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.561100006,1.626989961,1.51899004,1.554700017,,,,,,,,
Australia,AUS,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,0.504000008,0.535830021,0.560549974,0.591970026,0.652310014,0.702859998,0.761229992,0.775200009,0.807810009,0.836610019,0.856959999,0.851809978,0.868279994,0.891040027,0.90338999,0.944850028,0.986109972,1.039190054,1.074720025,1.11105001,1.133509994,1.153849959,1.158229947,0.988810003,1.01019001,1.042989969,1.058200002,1.064640045,,,,,,,,,,,,,,,,,,1.307700038,1.300559998,1.296229959,1.262030005,,
Austria,AUT,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.429879993,0.482910007,0.529100001,0.551180005,0.593540013,0.624189973,0.645659983,0.682640016,0.707899988,0.731840014,0.750140011,0.775399983,0.807579994,0.821349978,0.842239976,0.861570001,0.864329994,0.875750005,0.873809993,0.881720006,0.872259974,0.887730002,0.900089979,0.916639984,0.942870021,0.965560019,0.982339978,1.002789974,,,,,,,,,,,,,,,1.164309978,1.16147995,1.161769986,1.158329964,1.155850053,1.16297996,,
Azerbaijan,AZE,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,0.757420003,,,,,0.88981998,,,,,0.662500024,0.642949998,0.702970028,0.779659986,0.877009988,0.947120011,0.950860023,,,,,,,,,1.044939995,1.019160032,0.981429994,0.986810029,0.989369988,1.016029954,1.045519948,1.101410031,1.124300003,1.139670014,1.150740027,1.12962997,1.127429962,1.138090014,
Burundi,BDI,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.055810001,0.072779998,0.114739999,0.220530003,0.118919998,0.11987,,,0.193020001,0.235740006,0.311610013,0.31182,,0.350910008,0.338369995,0.305640012,0.352519989,0.316100001,0.345369995,0.400999993,0.346500009,0.34235999,0.342310011,,,,,0.393029988,0.404929996,0.355659992,0.365480006,0.430330008,,0.379509985,0.379310012,0.436540008,,,,0.542680025,,0.461659998,0.485040009,0.444940001,0.328480005,0.489459991,0.526489973,0.607990026,,
Belgium,BEL,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.58701998,0.603209972,0.65824002,0.690760016,0.720390022,,,0.76049,0.74752003,0.777159989,0.830410004,0.833289981,0.865270019,0.884270012,0.86680001,0.881120026,0.926919997,0.940199971,0.910889983,0.966130018,0.975499988,,0.999109983,1.01583004,1.018249989,1.037829995,,,1.143069983,1.129330039,1.149489999,1.157420039,1.164489985,1.17840004,1.19698,1.205469966,1.209630013,1.209249973,1.199309945,1.210289955,1.213310003,1.220260024,1.227830052,1.232730031,1.235000014,1.231649995,1.234050035,1.236109972,,
Benin,BEN,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.071160004,0.15467,0.163289994,0.207049996,0.177900001,0.174730003,,0.213379994,0.211779997,,,0.224800006,0.195480004,0.21886,0.211390004,0.182769999,0.183070004,0.158849999,,,0.147479996,0.182190001,0.193289995,0.206719995,0.206860006,0.220840007,0.230609998,,0.245450005,0.245869994,0.2465,,,,,0.323680013,0.341349989,0.372189999,0.390769988,0.353899986,0.272320002,0.345090002,0.380120009,0.365119994,0.401930004,0.42069,0.439359993,0.467420012,,
Burkina Faso,BFA,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.17678,0.117729999,0.157319993,0.207709998,0.255620003,0.245700002,0.265430003,0.268790007,0.248349994,0.283710003,0.270960003,0.268970013,0.283069998,0.282029986,0.29411,0.298429996,0.312830001,0.315349996,0.315250009,0.297210008,0.300300002,0.29124999,0.296460003,0.319759995,0.284700006,0.319990009,0.295760006,,0.297919989,,,0.345039994,0.292950004,,0.451319993,0.45796001,0.456050009,0.494740009,0.483539999,0.47905001,0.496309996,0.495680004,0.492610008,0.485900015,0.522719979,0.51226002,0.521220028,0.582029998,0.561730027,
Bangladesh,BGD,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,0.113300003,,0.126100004,,0.11733,,0.146310002,0.163090006,0.166590005,0.167899996,0.168980002,0.169530004,0.285279989,0.238100007,0.231710002,0.24921,0.249819994,0.233380005,0.196520001,0.198349997,0.197960004,,,,,,,,,0.493349999,0.495130002,0.531589985,0.48921001,0.489529997,0.479110003,0.522469997,0.55539,0.55359,0.553600013,0.599709988,,0.69404,0.722559988,,0.737330019,,0.70065999,0.700810015,0.707140028,0.71833998,
Bulgaria,BGR,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,1.05982995,1.14952004,1.175629973,1.217000008,1.265249968,1.281790018,1.307109952,1.42840004,1.308539987,1.290940046,1.25988996,1.185230017,1.155560017,1.169849992,1.176419973,1.200950027,1.227349997,1.236179948,1.185739994,1.133229971,1.092700005,1.160730004,1.281640053,1.327759981,1.373980045,1.413339972,1.396880031,1.389000058,1.352159977,1.292449951,1.265799999,1.195549965,1.157969952,1.149690032,1.138550043,1.18524003,1.192759991,1.241799951,1.248080015,1.244089961,1.230610013,1.215430021,1.213250041,1.205940008,1.216330051,1.196609974,1.191689968,1.190889955,,
Bahrain,BHR,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,1.30885005,1.346889973,1.465520024,1.308879972,1.281000018,1.355069995,1.357059956,1.039929986,0.843100011,1.00454998,0.918900013,1.056380033,,,1.279629946,1.374570012,1.243350029,1.375020027,,,1.276409984,1.370290041,1.346629977,1.366299987,1.381469965,1.403699994,,,1.436660051,,,,1.543079972,,1.673650026,1.682739973,,,,,1.415619969,1.508020043,1.553069949,1.494519949,1.47826004,1.46468997,1.47171998,1.45472002,1.445119977,
"Bahamas, The",BHS,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55332005,,,,,,,1.630509973,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.331879973,
Belarus,BLR,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.182880044,,,,,1.155969977,1.209470034,1.20855999,1.230659962,1.24379003,1.248379946,1.266600013,1.275290012,1.276540041,1.269829988,1.274530053,1.295529962,1.320580006,1.320719957,1.308699965,1.29922998,1.285390019,1.261870027,1.251639962,1.247189999,1.225450039,1.195770025,1.156859994,,
Belize,BLZ,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,1.576490045,1.484699965,,1.631780028,1.310420036,,,,,,,,,,,,,,,,,,,,,,,,,,1.384799957,1.402999997,1.366709948,1.339599967,1.366330028,1.39993,1.387590051,1.378309965,1.398569942,1.37349999,1.396919966,1.395120025,1.390799999,1.394880056,1.378069997,1.382380009,1.382719994,1.390429974,1.404129982,
Bermuda,BMU,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,1.127650023,0.920009971,1.06340003,,,,,,,,,,,,,,,,,,,,,,,,,1.551949978,1.597890019,1.516000032,1.603760004,1.513820052,1.516149998,1.497439981,1.551229954,1.466699958,1.567250013,,1.405300021,1.332749963,,
Bolivia,BOL,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19738996,,1.198619962,1.235550046,1.239279985,1.221240044,1.222270012,,1.209619999,1.226709962,1.243299961,,1.238600016,,,,,,,,,
Barbados,BRB,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.854770005,0.879270017,0.808449984,0.798789978,,,,,,,1.131659985,,,0.892030001,0.976939976,,,,1.305099964,1.334380031,,1.19667995,,,,,,,1.566619992,1.626719952,1.595790029,,,,,,1.533689976,,1.546259999,1.541849971,1.554669976,,,,,,,,,
Brunei Darussalam,BRN,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,1.244799972,,1.387799978,,,,0.952099979,1.463580012,,1.078490019,1.079679966,,,,,1.260089993,1.281870008,1.295969963,,,,1.44370997,1.451760054,1.402590036,1.349149942,1.380470037,1.441300035,1.484539986,1.497869968,1.48477006,1.461509943,1.498819947,1.439039946,1.464239955,1.433369994,1.434059978,1.46160996,1.423760056,1.413879991,1.396049976,1.38282001,1.356809974,1.357470036,
Bhutan,BTN,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,0.313849986,0.403490007,0.29144001,,,0.210910007,,,,,,,,,,,,,,,,0.580309987,,,,,,0.606480002,0.568920016,0.544009984,0.579990029,0.623769999,0.623409986,0.710359991,0.720579982,0.770250022,,,,,0.992410004,,1.058590055
Botswana,BWA,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,0.384149998,0.371980011,0.460779995,0.444489986,0.488489985,0.49643001,0.465149999,0.520770013,0.451200008,0.429210007,0.402249992,0.45194,0.428250015,0.724860013,,0.771749973,,,,0.638180017,,0.708469987,0.651369989,0.828429997,0.833490014,,0.855260015,0.874189973,0.876820028,0.871800005,0.94806999,0.958239973,0.858009994,0.860719979,0.798420012,,,,,,,,1.181540012,1.254160047,1.293259978,1.299640059,,1.321820021,
Central African Republic,CAF,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,0.223100007,0.125939995,0.089100003,0.115740001,0.061670002,0.108149998,,0.118780002,,0.152500004,,0.191290006,0.151480004,0.170589998,,,,,,,0.188749999,0.19122,,,,,,0.289270014,,0.358410001,0.438670009,0.323989987,,0.366849989,,,,,,,,
Canada,CAN,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,0.831780016,,,,,,,,,,,,,0.910749972,1.185850024,1.188850045,1.191740036,1.146700025,1.137940049,1.144610047,1.159340024,,1.241140008,1.252110004,1.253880024,,1.264770031,,,,,1.273169994,1.279320002,1.285830021,1.275349975,1.268710017,1.255139947,1.250450015,1.251049995,1.254420042,1.253990054,1.255049944,1.253329992,,
Central Europe and the Baltics,CEB,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,0.913569987,0.914889991,0.927869976,0.965269983,1.024489999,1.05795002,1.085919976,1.108199954,1.123160005,1.099439979,1.097000003,1.09326005,1.092079997,1.08415997,1.101500034,1.114120007,1.140849948,1.139600039,1.128200054,1.114930034,1.123280048,1.099210024,1.120249987,1.136070013,1.171849966,1.200420022,1.230039954,1.238929987,1.219059944,1.233170033,1.237709999,1.254109979,1.258200049,1.258340001,1.26146996,1.268380046,1.278120041,1.284119964,1.293709993,1.297140002,1.313770056,1.321120024,1.310860038,1.308480024,1.300060034,1.294890046,1.290940046,1.288859963,1.289109945,1.289109945,
Switzerland,CHE,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,0.363029987,0.373290002,0.384420007,0.405519992,0.430599988,0.45401001,0.481730014,0.495200008,0.47705999,0.482690006,0.484059989,0.47608,0.495440006,0.527939975,0.540600002,0.551110029,0.568759978,0.585870028,0.596939981,0.606289983,,0.70115,0.721199989,0.750660002,0.754949987,0.775189996,0.807099998,0.830219984,0.86650002,0.897430003,0.924310029,0.991219997,1.00759995,0.989650011,0.991659999,0.998899996,1.012009978,1.016579986,1.027780056,1.019569993,1.024960041,1.029450059,,
Channel Islands,CHI,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,0.632449985,0.625840008,0.637199998,,,0.821269989,0.740329981,0.724539995,0.726149976,0.656669974,0.762019992,,,0.736429989,0.749599993,0.769259989,0.788020015,0.804929972,,,,,,0.847259998,0.858860016,0.857770026,0.851170003,0.872539997,0.874920011,0.913190007,0.916279972,,0.93088001,0.943840027,0.950230002,0.956879973,0.996609986,1.007419944,1.027609944,1.057899952,1.069010019,1.090440035,1.105550051,1.100200057,1.103780031,1.10236001,1.114750028,1.128890038,1.140709996,,
China,CHN,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,0.469680011,0.538730025,0.511399984,0.521120012,0.432700008,0.336140007,0.335960001,,,,,,,,,,,,,,0.527670026,,,,,,,,,0.82656002,0.885179996,0.903150022,0.944180012,0.977779984,1.016000032,1.036599994,1.058599949,1.081580043,1.097190022,1.117359996,1.138180017,1.156260014,1.16929996,1.171609998,1.178110003,1.180680037,
Cote d'Ivoire,CIV,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.188260004,0.197190002,0.202230006,0.214090005,,0.226850003,0.238509998,,0.233600006,0.235410005,,,,,,,0.236469999,,,,,,,0.314310014,0.336059988,,0.371740013,,0.365350008,,,,,,,,0.498019993,0.541649997,0.519509971,0.505959988,0.661639988,,0.608749986,0.570479989,0.645150006,0.679849982,0.69028002,,,
Cameroon,CMR,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.083520003,0.100749999,0.126389995,0.127069995,0.157619998,,,,,,,,,,,,,,,,,,,,,,,,,,,0.637030005,0.637179971,0.637300014,0.656899989,0.721750021,0.786469996,0.792729974,0.788609982,0.813040018,0.734979987,0.773079991,0.77414,0.779330015,0.803330004,0.88142997,0.813530028,0.886219978,,
"Congo, Dem. Rep.",COD,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.056529999,0.068379998,,0.103100002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350510001,0.355210006,0.310440004,,0.446999997,0.552169979,0.455309987,,,0.558820009,,,,
"Congo, Rep.",COG,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.049509998,0.071939997,,,0.090180002,0.108779997,0.14034,0.152250007,,0.16494,0.17295,0.15185,0.15264,0.174579993,0.178660005,0.182740003,,0.217800006,0.176349998,0.194189996,0.212569997,0.226569995,,,,,,,0.264349997,0.310009986,0.134670004,0.186770007,0.39647001,,,,,,0.20984,,0.583779991,0.627919972,0.751349986,,,,0.668739974,,,
Colombia,COL,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,0.362749994,,,,0.53324002,0.563040018,,0.624939978,0.662620008,0.696269989,0.800199986,0.799989998,0.847769976,,0.919759989,0.945249975,0.949880004,0.968320012,0.93434,1.056620002,,1.026340008,,,,1.010310054,1.059970021,1.092669964,0.982609987,1.081030011,1.065840006,1.077970028,1.068539977,,1.070500016,1.075090051,1.082069993,1.085610032,0.993789971,1.051249981,1.091830015,1.09228003,1.116709948,1.129160047,1.13530004,1.142040014,1.140239954,1.142030001,1.144559979,,
Comoros,COM,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172810003,,0.4005,,,,,,,0.758729994,0.734679997,,,0.776960015,,,,,,0.713930011,0.744589984,0.786249995,0.864979982,0.867299974,0.811959982,,,,,,
Cabo Verde,CPV,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.032549977,1.035169959,1.044229984,1.121399999,1.116750002,1.063910007,1.111379981,1.200989962,1.232730031,1.257689953,1.222800016,1.261059999,1.27373004,1.309569955,1.316650033,1.31614995,1.335420012,1.331719995,1.32814002,,
Costa Rica,CRI,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,0.797360003,0.82299,0.813759983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.188869953,,,,,,,1.202280045,1.199139953,1.181439996,1.191679955,1.235059977,1.190479994,1.202290058,1.176669955,1.182979941,
Caribbean small states,CSS,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,0.943509996,0.955389977,0.934840024,0.916530013,0.909720004,0.91782999,0.898999989,0.924090028,0.943430007,0.964619994,0.990040004,1.027080059,1.027660012,1.03689003,1.031080008,1.059610009,1.088150024,1.109200001,1.123160005,1.125530005,1.155339956,1.171980023,1.157770038,1.172580004,1.211330056,1.263640046,1.296429992,1.331159949,1.370030046,1.40565002,1.443459988,1.46649003,1.488579988,1.497269988,1.474619985,1.474009991,1.483659983,1.482900023,1.477169991,1.494869947,1.498630047,1.496279955,1.464820027,1.491340041,1.455629945,1.423370004,1.428120017,,,,
Cuba,CUB,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.645810008,0.516740024,0.457480013,0.533230007,0.542630017,,0.665359974,,0.801919997,0.87173003,0.945309997,1.071859956,1.09660995,1.108540058,1.142150044,1.150750041,1.190029979,1.204360008,1.252130032,1.270509958,1.272369981,1.300279975,1.292860031,1.270640016,1.315629959,1.351189971,1.364030004,1.374619961,1.146980047,1.154420018,1.105469942,1.18204999,1.23901999,1.41158998,1.408789992,1.377020001,1.448959947,1.396559954,1.397459984,1.391309977,1.390669942,1.34860003,1.400490046,,1.29034996,1.288589954,1.406909943,1.3671,,
Curacao,CUW,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.560780048,,,,,,,
Cayman Islands,CYM,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.600309968,1.572520018,1.552940011,,,,,,,,,,,,
Cyprus,CYP,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.792509973,1.047469974,0.822899997,0.800499976,,,,1.224939942,0.942669988,0.897329986,0.791499972,0.680850029,0.859640002,0.911729991,0.899909973,1.042670012,1.000939965,1.08754003,1.200330019,1.270670056,1.172320008,1.393059969,0.995280027,1.136479974,1.215370059,1.298030019,1.182019949,,1.198909998,1.23921001,1.267420053,1.20551002,1.032610059,0.980250001,1.116870046,1.045590043,0.993799984,0.958239973,0.871909976,0.89696002,1.031450033,1.151859999,1.225170016,1.295459986,1.263470054,1.170289993,1.155050039,1.076470017,,
Czech Republic,CZE,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.582840025,0.576789975,0.595809996,0.616659999,0.640990019,0.654910028,0.67790997,0.677489996,0.677399993,0.68878001,0.707660019,0.72161001,0.745140016,0.753090024,0.743830025,0.75503999,0.751230001,0.764410019,0.79993999,0.786979973,0.809509993,0.82573998,0.826439977,0.965740025,0.961160004,0.918349981,0.979460001,0.969739974,1.033349991,1.03579998,1.048629999,1.090370059,1.069390059,1.089709997,1.138429999,1.179939985,1.211310029,1.239670038,1.272799969,1.283820033,1.294229984,1.293859959,1.296429992,1.286489964,1.289100051,1.289109945,1.290750027,1.282189965,,
Germany,DEU,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.742200017,0.759259999,0.769450009,0.803049982,0.841889977,0.880550027,,,,,,,,,,,,,,,,0.939840019,0.95468998,0.980069995,0.99673003,1.01256001,1.030769944,,
Djibouti,DJI,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.444130003,1.220149994,1.037500024,,0.889219999,0.794250011,,1.044450045,0.891369998,0.723810017,0.807889998,0.69562,0.812290013,0.719850004,0.67651999,0.695580006,0.700789988,0.739669979,0.753139973,0.758069992,,,,,,,,,
Dominica,DMA,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,0.306270003,,,1.844130039,1.508949995,,,,1.73514998,,0.807430029,1.30388999,1.004269958,,,,,,,,,,,,,,,,,,,,,,,,,,,
